Rank,Nuclide,A,Z,N,Total Energy (MeV),Mass (MeV/c^2),Mass (u),B (MeV),B/A (MeV)
90,1H,1,1,0,0.782327,938.782603,1.007818146,-0.000603,-0.000603
89,2H,2,1,1,1.503327,1876.123206,2.014088251,2.223794,1.111897
88,3He,3,2,1,3.094327,2809.411809,3.016008383,7.717191,2.572397
82,4He,4,2,2,7.465077,3728.399412,4.002575858,28.294588,7.073647
87,6Li,6,3,3,5.723527,5603.048418,6.015081501,31.992582,5.332097
86,7Li,7,3,4,5.941599,6535.363317,7.015956325,39.242683,5.606097571
85,9Be,9,4,5,6.810483,8394.790023,9.012120261,58.162977,6.462553
84,10B,10,5,5,6.866257,9326.98673,10.0128682,64.74827,6.474827
83,11B,11,5,6,7.283337,10255.09752,11.00922976,76.202477,6.927497909
78,12C,12,6,6,8.071327,11177.92324,11.99991759,92.158764,7.679897
81,13C,13,6,7,7.830943,12112.54183,13.00326552,97.105169,7.469628385
80,14N,14,7,7,7.866827,13043.77344,14.00297739,104.655558,7.475397
79,15N,15,7,8,8.064594,13972.50504,15.00000541,115.48896,7.699264
73,16O,16,8,8,8.36739,14899.16064,15.99480477,127.61536,7.97596
76,17O,17,8,9,8.118904,15834.58244,16.99901497,131.758558,7.750503412
77,18O,18,8,10,8.114744,16766.10335,17.99903741,139.802652,7.766814
75,19F,19,9,10,8.149612,17696.89104,18.99827272,147.796958,7.778787263
72,20Ne,20,10,10,8.423422,18622.83016,19.99230291,160.63984,8.031992
74,21Ne,21,10,11,8.34428,19555.63365,20.99370225,167.40135,7.971492857
71,22Ne,22,10,12,8.436087,20484.83455,21.99123408,177.765454,8.080247909
70,23Na,23,11,12,8.485675,21414.82287,22.98961123,186.559135,8.111266739
68,24Mg,24,12,12,8.651911,22341.91246,23.9848765,198.251544,8.260481
69,25Mg,25,12,13,8.599047,23274.14708,24.98566514,205.581925,8.223277
67,26Mg,26,12,14,8.694981,24202.61867,25.98241404,216.675326,8.333666385
66,27Al,27,13,14,8.708242,25133.13058,26.98135328,224.945424,8.331312
64,28Si,28,14,14,8.838935,26060.32982,27.97673625,236.52818,8.447435
65,29Si,29,14,15,8.826327,26991.42152,28.97629792,245.001483,8.448327
60,30Si,30,14,16,8.885761,27920.37717,29.97356647,255.61083,8.520361
63,31P,31,15,16,8.859744,28851.86294,30.97355119,262.907064,8.480873032
61,32S,32,16,16,8.884318,29781.78182,31.97185381,271.770176,8.492818
62,33S,33,16,17,8.876964,30712.70519,32.97123477,280.411812,8.497327636
53,34S,34,16,18,8.951675,31640.85305,33.96763612,291.82895,8.583204412
59,35Cl,35,17,18,8.900285,32573.26503,34.96861516,298.198975,8.519970714
58,36S,36,16,20,8.923108,33503.10811,35.96683641,308.703888,8.575108
153,36Ar,36,18,18,8.911105,33503.54022,35.96730029,306.70578,8.519605
57,37Cl,37,17,20,8.92976,34433.50388,36.96565097,317.09012,8.570003243
50,38Ar,38,18,20,8.98487,35362.04494,37.96247444,327.33106,8.613975263
56,39K,39,19,20,8.938174,36294.44621,38.96344199,333.711786,8.556712462
54,40Ar,40,18,22,8.947325,37224.707,39.96211165,343.799,8.594975
210,40Ca,40,20,20,8.942485,37224.9006,39.96231948,342.0394,8.550985
285,40K,40,19,21,8.909707,37226.21172,39.96372702,341.51128,8.537782
55,41K,41,19,22,8.938623,38155.68146,40.96154746,351.606543,8.575769341
49,42Ca,42,20,22,8.989116,39084.18713,41.95833293,361.882872,8.616258857
52,43Ca,43,20,23,8.964551,40015.81931,42.95847483,369.815693,8.600364953
48,44Ca,44,20,24,9.013793,40944.25311,43.95518315,380.946892,8.657883909
51,45Sc,45,21,24,8.983945,41876.14748,44.95560652,387.834525,8.618545
46,46Ti,46,22,24,9.030532,42804.58553,45.95231941,398.178472,8.656053739
242,46Ca,46,20,26,9.009047,42805.57384,45.9533804,398.756162,8.668612217
